ID;Title;EpisodeTitle;Season;Episode;Year;EndYear;Budget (EUR);Gross (EUR);FilmingDays;Keywords;Language;Rating;Duration
828446;Game of Thrones;First of His Name;4;5;2011;2011;8206042;;;aunt-niece-relationship*betrayal*conspiracy*coronation*dead-rabbit*dessert*face-slap*fire*hostage*hugging*infidelity*killed-by-sword*lemon-cake*listening-to-sex*loud-sex*loyalty*marriage*night-watch*overhearing-sex*present*queen*rabbit*revenge*slave*snow*sword*swordplay*title-spoken-by-character*very-loud-screaming-during-sex*violence-against-child*violence-against-women*vision*wolf;English;8.7;
828447;Game of Thrones;Garden of Bones;2;4;2011;2011;7033750;;;abuse*armor*bare-breasts*bare-butt*beating*beating-with-a-belt*belt*blackmail*boy-king*brutality*city-wall*clothes-ripping*corporal-punishment*crossbow*cruelty*crying-woman*dead-body*female-frontal-nudity*female-full-frontal-nudity*female-full-rear-nudity*female-nudity*female-pubic-hair*female-rear-nudity*foot-amputation*girl-disguised-as-boy*giving-birth*head-on-a-stake*helmet*kneeling*nudity*pregnant-woman*prostitute*pubic-hair*public-humiliation*rainy-night*rescue*sadism*sexual-sadism*soldier*spanking*spanking-buttocks*spear*stealing-from-a-dead-body*supernatural-birth*sword*topless-female-nudity*torture*violence*woman-undressing*woman-undressing-for-a-man;English;8.8;
828448;Game of Thrones;Hardhome;5;8;2011;2011;11722917;;;advisor*council-of-elders*giant*jail*oyster*zombie-attack;;9.9;
828449;Game of Thrones;High Sparrow;5;3;2011;2011;7033750;;;alliance*beheading*brothel*corpse*female-frontal-nudity*male-rear-nudity*marriage*religious-sect*wedding*wedding-night;;8.6;
828450;Game of Thrones;Home;6;2;2011;2011;;;;blood*capital-city*corpse*crown*dragon*dwarf*eunuch*fantasy-world*fire*flashback*king*kinslayer*knife*mother*resurrection*snow*spell*sword*teeth*torch;English;9.5;
828451;Game of Thrones;Kill the Boy;5;5;2011;2011;7033750;;;alliance*ancient-city*female-nudity*fire-breathing-dragon*flying-dragon*kennel*library*male-rear-nudity*river*saved-from-drowning*sunset;;8.6;
828452;Game of Thrones;Kissed by Fire;3;5;2011;2011;4689167;;;back-from-the-dead*bath*bathtub*beheading*brought-back-to-life*coming-back-to-life*double-child-murder*fetus-in-a-jar*gay-kiss*kiss*loss-of-virginity*male-full-frontal-nudity*male-pubic-hair*male-rear-nudity*oral-sex*sex-in-a-cave*shared-bath*stillborn-child*waterfall;English;8.9;
828453;Game of Thrones;Lord Snow;1;3;2011;2011;7033750;;148;armor*brothel*brutality*character-name-in-episode-title*debt*dragon*dragon's-egg*fencing-lesson*helmet*queen*sex-scene*soldier*spear*sword*two-word-episode-title*urination*violence*weapons-training;English;8.6;
828454;Game of Thrones;Mhysa;3;10;2011;2011;4689167;;;cleaning-up-blood*coin*diamond*dire-wolf*dispatch*killer-child*one-word-episode-title*priestess*reading-aloud*return-home*rowboat*royal-council*sausage*severed-penis*shot-with-a-bow-and-arrow*stabbed-to-death*wine;English;9.1;63
828455;Game of Thrones;Mockingbird;4;7;2011;2011;8206042;;;animal-in-episode-title*animal-in-title*bathtub*bird-in-episode-title*bird-in-title*bread*death-by-falling*entrails*face-slap*falling-to-death*female-nudity*inn*intrigue*kidney-pie*male-nudity*male-rear-nudity*mercy-killing*neck-wound*one-word-episode-title*pie*snow-sculpture*stabbed-in-the-heart*undressing;English;9.1;
