ActorID;FirstName;LastName;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
241076;Kishanna Poteat;Brown;False;;;;
198493;Sofia;Bobtcheva;False;;;;
709700;Bettina;Hayes;False;;;;
695206;Conleth;Hill;True;1964;Ballycastle, County Antrim, Northern Ireland, UK;;
435980;Martin (I);Delaney;True;1982;Kent, England, UK;;
668554;Harold;Hecht Jr.;True;;;;
516728;Graciela (I);Flores;False;;;;
1817173;Martha (I);Washington;False;;;;
698682;Brent;Hinds;True;;;;
1224569;Barbara;Newberry;False;;;;
849608;Paul (II);Kealyn;True;;;;
676027;Richard (II);Halverson;True;;;;
536126;Gianmaria;Francini;True;;;;
855443;Ben (XIX);Kelly;True;;;;
294083;Ricky;Champ;True;;;;
1088924;Michael;McElhatton;True;1963;Terenure, Dublin, Ireland;;
394868;Niall;Cusack;True;;;;
1506038;Richard;Rycroft;True;;;;
228708;Anthony (II);Boyle;True;;;;
705182;Christopher (II);Hodge;True;;;;
751238;Ralph;Ineson;True;1969;Leeds, West Yorkshire, England, UK;;
1163295;Paul (II);Monahan;True;;;;
242326;Tim (V);Burr;True;;;;
988352;Rose;Leslie;False;1987;Aberdeen, Scotland, UK;;
959143;Rosabell;Laurenti Sellers;False;1996;Santa Monica, California, USA;;
425402;Sandra (V);Dee;False;;;;
1083351;Keegan J.;Martin;True;;;;
1081704;Vinita;McClennon;False;;;;
425354;Antoine;de Turckheim;True;;;;
78696;Philip;Arditti;True;;;;
254883;Santosia;Camron;False;;;;
1842628;Peter (I);Wheeler;True;1934;England, UK;2010;Manchester, England, UK
942319;Maxwell;Laird;True;;;;
176288;Esm;Bianco;False;1982;St. Albans, Hertfordshire, England, UK;;
1221005;Tom;Nemetchek;True;;;;
709979;Lucy (IV);Hayes;False;;;;
743242;Jrgen;Hgli;True;;;;
587611;David;Gilders;True;;;;
483281;Lou;Farrel;True;;;;
1903266;Ben (IV);Yates;True;;;;
1808092;Lisa (II);Walsh;False;;;;
695432;Trixiebell;Harrowell;False;;;;
420148;Karl (I);Davies;True;1982;Manchester, England, UK;;
69188;Adam;Antares;True;;;;
911814;Ollie;Kram;False;;;;
856915;Patrick (L);Kelly;True;;;;
849461;Poppy;Kelly;False;;;;
1664982;Conan;Stevens;True;;;;
1392835;Debra;Radford;False;;;;
501339;Derek;Fialkiewicz;True;;;;
141517;Shannon;Baxter;False;;;;
1669027;Natalia;Tena;False;1984;London, England, UK;;
1625986;Justin (III);Snow;True;;;;
938364;Isabella;Laforet;False;;;;
1075751;Aaron (II);Massey;True;;;;
248771;Regina;Cafarelli;False;;;;
86597;Sabina;Arthur;False;;;;
1162156;Patrick J;Molloy;True;;;;
1299310;Marissa;Pfaff;False;;;;
420610;Carmem;de Oliveira;False;;;;
1242394;Danny;Olvera;True;;;;
1299310;Kali;Peacock;False;;;;
1404356;Ricardo (XII);Ramos;True;1992;El Paso, Texas, USA;;
525073;Kelsey (I);Ford;False;;;;
852010;Sorcha;Kenny;False;;;;
494351;Anton;Ferlin;True;;;;
485635;Seger;Dow;True;;;;
89592;Mandana;Aslani;False;;;;
418021;Evan (I);David;True;;;;
1443695;Diana (I);Rigg;False;1938;Doncaster, Yorkshire, England, UK;;
141634;Bart the (II);Bear;True;2000;Alaska, USA;;
141517;Sean;Bean;True;1959;Sheffield, South Yorkshire, England, UK;;
1078033;;Manuela (VI);False;;;;
538216;Brian (XIII);Frank;True;;;;
1079739;Sally (III);Marsh;False;;;;
1797495;Aeryn;Walker;False;;;;
230651;Colton;Brewer;True;;;;
138357;Jean E.;Bartlett;False;;;;
244871;Jemaine;Brown;True;;;;
666545;Timo;Haara;True;;;;
376571;Jeffrey;Cranor;True;;;;
1505324;Patrick (XII);Ryan;True;;;;
743242;Kerry;Ingram;False;1999;Slough, Buckinghamshire, England, UK;;
721802;Rhys;Howells;True;;;;
888395;Sahara;Knite;False;1975;England, UK;;
669226;Hayat;Haigoune;False;;;;
450117;Nathalie;Emmanuel;False;1989;Southend-on-Sea, Essex, England, UK;;
347912;Julie (IV);Collins;False;;;;
483001;Jeff;Farr;True;;;;
