ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3898303;Un amour de Salvator Rosa;1910;1910;Drama*Short;;;;Italian;;Italy;;
3898304;Un amour de sorcire;1997;1997;Adventure*Comedy*Fantasy*Romance;;;;French*English;New York, USA*Paris, France*Pyrnes-Atlantiques, France*Venice, Veneto, Italy;France;5.1;
3898305;Un amour de Swann;1984;1984;Drama*Romance;;;;French*English*German;Chteau de Champs-sur-Marne, 31 rue de Paris, Champs-sur-Marne, Seine-et-Marne, France;France*West Germany;6.6;
3898306;Un amour de trop;1989;1989;Drama*Romance;;;;French;Paris, France;France;;
3898307;Un amour de tls;2008;2008;Animation*Short;;;;French;;France;5.0;
3898308;Un amour en kit;2003;2003;Comedy*Drama*Romance;;;;French;;France;5.8;
3898309;Un amour interdit;1984;1984;Drama;;;;French;;France*Italy*Canada;5.3;
3898311;Un amour  Paris;1987;1987;Crime*Drama*Romance;;;;French;Barbs, Paris, France*Belleville, Paris 19, Paris, France*Cinma La Pagode, Paris 7, Paris, France*Cit des Sciences de La Villette, Paris 19, Paris, France*Pigalle, Paris 9, Paris, France*Quais de la Seine, Paris, France;France;4.7;
3898312;Un Amour  taire;2005;2005;Drama*Romance*War;;;;French;Sofia, Bulgaria;France;8.2;
3898313;Un amoureux tenace;1909;1909;Short;;;;French;;France;;
3898314;Un Amricain  Tanger;1993;1993;Documentary*Short;;;;;;France*Morocco;;
3898315;Un an;2006;2006;Drama*Mystery;;;;French;;France;5.3;98
3898317;Un an aprs;2003;2003;Documentary;;;;French;;France;;
3898318;Un an De Reflexion;2012;2012;Documentary;;;;French;;France;;
3898319;Un an et un jour;2011;2011;Drama*Short;;;;French;;France;;
3898320;Un ange;2001;2001;Crime*Drama;;;;French;Cannes, Alpes-Maritimes, France*Marseille, Bouches-du-Rhne, France;France;5.5;
3898321;Un ange;2003;2003;Drama*Short;10000;;;French;;France;;
3898324;Un ange passe;1995;1995;Short*Drama;;;;French;;Japan*France*Belgium;;
3898325;Un ange passe;1995;1995;Short*Drama;;;;;;Japan*France*Belgium;;
3898326;Un ange passe;1998;1998;Short;;;;None;;Belgium;;8
3898327;Un ange passe;2003;2003;Drama*Short;2000;;;;;France;;8
3898328;Un ange passe;2004;2004;Drama*Short;;;;;;Canada;;5
3898329;Un ange passe;2009;2009;Drama*Short;;;;French;;France;4.8;18
3898330;Un ange passe;2010;2010;Short;;;;French;;France;;15
3898331;Un ange passe;2015;2015;Short;;;;;;France;;
3898332;Un ange  la mer;2009;2009;Drama;;;;French;Morocco;Belgium*Canada;6.4;
3898335;Un angelo all'inferno;2013;2013;Drama*Family;;;;Italian;;Italy;6.4;
3898336;Un angelo per Satana;1966;1966;Horror*Mystery;;;;Italian;;Italy;6.7;90
3898337;Un angelo  sceso a Brooklyn;1957;1957;Comedy*Fantasy;;;;Italian;Brooklyn, New York City, New York, USA*Madrid, Spain;Italy*Spain;6.9;
3898338;Un animal dou de draison;1976;1976;Comedy*Romance;;;;French;;France*Brazil;5.0;
3898339;Un animal, des animaux;1996;1996;Documentary;;;;French;Paris, France;France;7.8;59
3898340;Un animale chiamato uomo;1972;1972;Western;;;;Italian;;Italy;4.5;82
3898341;Un animale utile;1951;1951;Documentary*Short;;;;Italian;Parma, Emilia-Romagna, Italy;Italy;;
3898342;Un Anniversaire;2011;2011;Drama*Mystery*Short;;;;French;;Sri Lanka;;
3898343;Un anno a primavera;2005;2005;Drama;;;;Italian;;Italy;7.5;200
3898344;Un anno di scuola;1977;1977;Drama;;;;Italian;Piancavallo, Friuli-Venezia Giulia, Italy*Gorizia, Friuli-Venezia Giulia, Italy	*Trieste, Friuli-Venezia Giulia, Italy;Italy;8.5;
3898345;Un anno dopo;1997;1997;Short;;;;Italian;;Italy;;
3898346;Un anno dopo;2000;2000;Drama*Short;;;;Italian;Viareggio, Lucca, Tuscany, Italy;Italy;8.1;
3898348;Un antico corsaro;1911;1911;Short;;;;Italian;;Italy;;
3898349;Un anuncio y cinco cartas;1937;1937;Comedy*Short;;;;;;Spain;;
3898350;Un aperu de la reconstruction;1948;1948;Documentary*Short;;;;French;France;France;;
3898351;Un aperu du bonheur;2003;2003;Drama*Romance*Short;3000;;2;French;Paris, France;France;;6
3898352;Un aplauso al que vive;2015;2015;Documentary;;;;Spanish;;Argentina*Spain;;
3898353;Un aplauso para el asador;2011;2011;Short;;;;Spanish;;Argentina;;6
3898354;Un appel silencieux;1911;1911;Drama*Short;;;;French;;France;;
3898356;Un appuntamento;1913;1913;Short;;;;Italian;;Italy;;
3898357;Un apres-midi ensoleille;2011;2011;Drama*Short;;;;French;;Canada;;
3898358;Un aprs midi au parc;1998;1998;Short;;;;French;;France;;11
3898359;Un aprs-midi avec Paolo;2014;2014;Drama*Short;;;;French;;Canada;;
3898360;Un aprs-midi d't;2011;2011;Drama*Short;;;;French;;France;;15
3898361;Un aprs-midi ordinaire;2004;2004;Short;150;;;;Lyon, France;France;;5
3898362;Un Aprs-midi  Paris;2011;2011;Romance*Short;5000;;;French;Paris, France;France;;
3898363;Un aptre de la non-violence;1997;1997;Drama;;;;Central Khmer;;Cambodia;;
3898364;Un Arabe ouvert;1999;1999;Fantasy*Short;;;;French;;France;;25
3898365;Un arabo mancato;2013;2013;Comedy*Short;;;;Italian;;Italy;;
3898366;Un arbre avec un chapeau;2000;2000;Short;;;;French;;Canada;;
3898368;Un arbre de Nol pour deux;1988;1988;Short;;;;French;;France;;8
3898370;Un archipel;2012;2012;Short*War;;;;French*Romanian*Chinese*Arabic*Kabyle;;France;;
3898371;Un Architecte;2015;2015;Documentary*Short;;;;;;USA*Congo;;
3898372;Un architecte dans le paysage;2010;2010;Documentary*News;;;;French*Swiss German*Dutch;;Switzerland;;
3898373;Un argentino en Ibiza;1996;1996;Adult;;;;Spanish;;Argentina;;
3898374;Un argentino en New York;1998;1998;Comedy*Music;2833396;;;Spanish;Buenos Aires, Federal District, Argentina*New York City, New York, USA;Argentina;4.5;
3898375;Un arma cargada de futuro;2010;2010;Documentary;;;;Spanish;;Argentina;;90
3898377;Un arrangement;1997;1997;Drama*Short;;;;French;;France;3.7;30
3898378;Un arreglo civilizado para el divorcio;1993;1993;Comedy*Short;;;;Spanish;;Mexico;;
3898379;Un arrivo;1983;1983;Short;;;;;;Italy;;
3898380;Un artist evoca o lume;1964;1964;Documentary*Short;;;;;;Romania;;
3898381;Un artista del hambre;2005;2005;Short;;;;Spanish;;Argentina;;
3898383;Un asesinato perfecto;1995;1995;Action;;;;Spanish;;Mexico;;
3898384;Un asesino anda suelto;1988;1988;Thriller;;;;Spanish;;Mexico;;90
3898385;Un asesino anda suelto;1991;1991;Thriller;;;;Spanish;Mexico City, Distrito Federal, Mexico*Tlalpan, Mexico City, Distrito Federal, Mexico;Mexico;;
3898386;Un assassin qui passe;1981;1981;Thriller;;;;French;;France;5.9;110
3898388;Un asunto de miedo...;2007;2007;Documentary;;;;Spanish;Colombia;Colombia;;
3898389;Un asunto de tierras;2015;2015;Documentary*Drama;;;;Spanish;;Colombia;5.9;
3898390;Un asunto pendiente;2001;2001;Short;;;;Spanish;;Spain;6.2;
