ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3186297;I Ain't Going;2016;2016;Comedy*Short;;;;;Los Angeles, California, USA;USA;;
3186298;I Ain't Gonna Open That Door;1947;1947;Comedy*Musical*Short;;;;English;;USA;4.8;
3186299;I Ain't Got Nobody;1932;1932;Animation*Music*Short;;;;English;;USA;6.9;
3186300;I Ain't No Pot;2012;2012;Drama*Short;;;;;;Turkey;;
3186301;I Ain't Scared of You: A Tribute to Bernie Mac;2011;2011;Biography*Comedy*Documentary;;;;English;;USA;8.3;
3186302;I Ain't Singing;2015;2015;Comedy;;;;;;USA;;
3186303;I Aint Missing You;2010;2010;Drama*Short;18889;;;English;Dallas, Texas, USA;USA;;4
3186304;I aionia epistrofi tou Antoni Paraskeva;2013;2013;Drama;;;;Greek;;Greece*Czech Republic;5.8;
3186305;I aionia zoi;1979;1979;Comedy;;;;Greek;;Greece;;
3186306;I aioniotita klinetai ston enestota;1998;1998;Short;;;;Greek;;Greece;;14
3186307;I aisthitiki theorisi tis arhitektonikis - Mia dierevnisi ton meson ekfrasis;2007;2007;Documentary;;;;Greek;;Greece;;57
3186308;I Akropolis se... trohous;1981;1981;Documentary*Short*Sport;2935;;;Greek;;Greece;;25
3186309;I Aliki diktator;1972;1972;Comedy*Drama*Romance;;;;Greek;;Greece;3.8;
3186310;I Aliki stis erimes poleis;1990;1990;Short;;;;None;;Greece;;17
3186311;I Aliki sto Naftiko;1961;1961;Comedy*Musical*Romance;;;;Greek;Kefalari, Kifissia, Greece	*Kifissia, Greece	*Pasalimani, Pireus, Greece	*Pireus, Greece	*Poros, Greece	*Thessaloniki, Greece;Greece;6.3;
3186312;I Aliki tis synhronis genias;1973;1973;Drama*Romance;;;;Greek;;Greece;;
3186313;I alismonitos Aretsou Konstadinoupoleos;2013;2013;Documentary*History;;;;Greek;;Greece;;
3186314;I alitheia einai pikri;1974;1974;Drama;;;;Greek;;Greece;;75
3186315;I alitheia gia ta paidia tis Elladas;1948;1948;Documentary*History*Short*War;;;;Greek;Vitsi,Kastoria, Macedonia, Greece*Gramos, Greece*Hungary*Czechoslovakia;Greece;;
3186316;I alitisa;1990;1990;Action*Drama;;;;Greek;;Greece;;87
3186317;I Alive;2014;2014;Adventure*Short;14;;;English;;Australia;;
3186318;I alli Artemis;2002;2002;Short;;;;Greek;;Cyprus;;
3186319;I alli mera;1989;1989;Short;;;;None;;Greece;;13
3186322;I alli plevra;1985;1985;Documentary*Short;880;;;Greek;;Greece;;30
3186323;I alli plevra;2004;2004;Documentary;;;;Greek*English*Turkish;;Greece;;54
3186324;I alli poli;1977;1977;Short;;;;Greek;;Greece;;8
3186325;I alli pteryga;1990;1990;Short;;;;Greek;;Greece;;10
3186326;I alli siopi;1970;1970;Short;;;;;;Greece;;11
3186327;I alli skini;1975;1975;Short;1027;;;Greek;;Greece;;40
3186328;I Almost Remember;2014;2014;Short;94;;;English;New Bern, North Carolina, USA	*Oriental, North Carolina, USA;USA;;
3186329;I Always Arrive at Your Door;2010;2010;Fantasy*Short;;;;;;Canada;;
3186330;I Always Come to You;2000;2000;Drama;;;;English;;Canada;8.6;
3186331;I Always Do My Collars First: A Film About Ironing;2006;2006;Documentary;;;;English;;USA;7.3;
3186332;I Always Liked That Best with Cyndi Thomson;2001;2001;Music*Short;94447;;;English;;USA;;
3186333;I Always Said Yes: The Many Lives of Wakefield Poole;2013;2013;Biography*Documentary*History;;;;English;;USA;7.9;
3186334;I Am 'Iron Man';2008;2008;Documentary;;;;English;;USA;;
3186335;I Am;2000;2000;Short;;;;;;USA;;24
3186338;I Am;2008;2008;Drama;236116;;;English;;USA;;88
3186339;I Am;2008;2008;Drama;;;;;;USA;;
3186348;I am;2011;2011;Action*Short;;;;English;;France;;
3186349;I Am;2011;2011;Biography*Documentary*Family;;;;Hindi;;USA*India;7.4;
3186355;I Am;2013;2013;Action*Drama*History*Short;;;;English*Mongolian;Mongolia;USA;;
3186356;I Am;2014;2014;Drama*Fantasy*Short;;;;;;USA;;
3186359;I am;2016;2016;Biography*Drama*Short;;;;English;;UK;;
3186367;I Am - A Short Film;2012;2012;Short;;;;English;;Canada;;
3186368;I Am - The Bread of Life;2009;2009;Short;472;;;;;USA;;10
3186369;I Am 12 and What Is This;2014;2014;Animation*Biography*Documentary*Short;;;;English;;USA;;
3186370;I Am 17 Years Old in 1997;1997;1997;Documentary*Short;;;;Cantonese;;Hong Kong;;
3186371;I Am 24;2010;2010;Comedy*Romance;;;;Hindi;Mumbai, Maharashtra, India;India;7.0;
3186372;I am 9;2018;2018;Documentary;;;;;;Canada;;
3186373;I Am 90, My Steps Are Light;1989;1989;Documentary;;;;Russian;;Soviet Union;;
3186374;I am a #youngworker;2016;2016;Animation*History*Short;;;;English;;USA;;
3186375;I am a beautiful beached whale by the Straits;2014;2014;Documentary*Family*Short;;;;Chinese;;Singapore;;
3186376;I Am a Big Ball of Sadness;2013;2013;Drama*Short;;;;English;;USA;7.1;
3186377;I Am a Bird Now;2007;2007;Short;20000;;;French;;France;;
3186378;I Am a Bounty Hunter: Domino Harvey's Life;2006;2006;Documentary*Short;;;;English;;USA;7.4;
3186379;I Am a Boyband;2003;2003;Short;;;;;;Canada*Germany;7.4;6
3186380;I Am a Bulgarian;2009;2009;Documentary*Short;;;;Bulgarian*English;;Bulgaria;;
3186381;I Am a Camera;1955;1955;Drama;;;;English;;UK;6.8;98
3186382;I Am a Caregiver;2015;2015;Documentary*Family;;;;English;;USA;;
3186383;I Am a Child Anorexic;2006;2006;Documentary;;;;;;UK;8.1;
3186384;I Am a Criminal;1938;1938;Crime*Drama;;;60;English;;USA;5.3;
3186385;I Am a Curious Gaijin;2008;2008;Documentary;755572;;;English*Japanese;;;;
3186386;I Am a Dancer;1972;1972;Biography*Documentary;;;;English;;UK*France;7.3;
3186387;I Am a Dancer;2013;2013;Biography*Short;18889;;;Arabic;Casablanca, Morocco;Morocco;;
3186388;I Am a Director;2012;2012;Comedy*Drama;;;;Spanish*English;;Puerto Rico;7.1;
3186389;I am a Doctor;2016;2016;Biography*Documentary*Drama*Short;;;;English;;Canada;;
3186390;I Am a Dream Chaser;2011;2011;Documentary;;;;English;Atlanta, Georgia, USA;USA;;
3186391;I Am a Fat Cat;2009;2009;Comedy*Crime*Drama*Short;;;;English;;USA;8.3;
3186392;I Am a Film Maker;2015;2015;Biography*Short;137;;;English;;India;;1
3186393;I Am A Fine Musician;2013;2013;Music*News*Short;;;;English;;USA;;
3186394;I Am a Free Man, Not a Slave;2013;2013;Drama*History*Short;;;;English;;UK;;
3186395;I Am a Fugitive from a Chain Gang;1932;1932;Crime*Drama*Film-Noir;184969;;41;English;Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA*Chatsworth, Los Angeles, California, USA	*Chicago, Illinois, USA	*Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA;USA;8.1;
3186397;I Am a Ghost;2012;2012;Drama*Horror*Thriller;9445;;;English;San Francisco, California, USA*Vallejo, California, USA*Ellsworth, Maine, USA;USA;6.1;
3186398;I Am a Girl;2013;2013;Biography*Documentary*Drama;;;;English*French*Central Khmer*Tok Pisin;Sydney, Australia	*Port Moresby, Papua New Guinea	*Yaound, Cameroon	*New York, USA	*Phnom Penh, Cambodia	*Afghanistan;Australia*USA*Papua New Guinea*Cameroon*Cambodia*Afghanistan;6.9;
