ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3981001;Z milosci;2011;2011;Drama;;;;Polish;Warsaw, Mazowieckie, Poland;Poland;4.1;
3981002;Z mistrzostw Europy w boksie;1955;1955;Documentary*Short*Sport;;;;Polish;;Poland;;
3981003;Z mojego okna;2000;2000;Documentary*Short;;;;Polish;;Poland;7.9;20
3981004;Z Movie;2006;2006;Comedy*Horror*Sci-Fi*Short;1500;;;Italian;Sassuolo, Emilia-Romagna, Italy;Italy;;
3981005;Z mho zivota;1955;1955;Biography*Music;;;;Czech;;Czechoslovakia;6.7;
3981006;Z Nation a Documentary;2016;2016;Comedy;756;;;English;;USA;;
3981007;Z niewielka pomoca moich przyjaciol. Joe Cocker;2000;2000;Documentary*Music;;;;Polish;;Poland;;
3981008;Z Norwida;1984;1984;Biography*Documentary*Short;;;;Polish;;Poland;;
3981009;Z odzysku;2006;2006;Drama;;;;Polish*Russian;Slaskie, Poland;Poland;6.7;103
3981010;Z pekla stest;1999;1999;Adventure;;;;Czech;;Czech Republic;4.4;
3981011;Z pekla stest 2;2001;2001;Comedy*Family;;;;Czech;;Czech Republic;3.1;
3981012;Z podniesionymi rekami;1986;1986;Drama*Short;;;;Polish;;Poland;7.5;
3981013;Z Powisla;1958;1958;Documentary*Short;;;;Polish;Warsaw, Mazowieckie, Poland*Powisle, Srdmiescie, Warsaw, Mazowieckie, Poland;Poland;6.3;
3981014;Z punktu widzenia nocnego portiera;1979;1979;Documentary*Short;;;;Polish;Warsaw, Mazowieckie, Poland;Poland;7.4;
3981015;Z ramion w ramiona;1929;1929;Drama*Romance;;;;Polish;Pieniny Mountains, Malopolskie, Poland;Poland;;
3981016;Z rodinnho alba;2002;2002;Drama;;;;Czech;;Czech Republic;;83
3981017;Z ruze kvtek;1945;1945;Adventure;;;;Czech;;Czechoslovakia;;
3981018;Z Salts;2014;2014;Comedy*Horror*Short;;;;English;;Canada;;
3981020;Z Storm;2014;2014;Action*Crime;6611258;12877649;;Cantonese*English;;Hong Kong;5.2;
3981021;Z tamtej strony teczy;1973;1973;Drama*Romance;;;;Polish;Gdansk, Pomorskie, Poland*Gdynia, Pomorskie, Poland*Sopot, Pomorskie, Poland;Poland;5.6;
3981022;Z Tatr;1930;1930;Documentary*Short;;;;Polish;Tatra Mountains, Malopolskie, Poland;Poland;;
3981023;Z Thinking;2015;2015;Short;472;;;English;Minneapolis, Minnesota, USA;USA;;
