ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3103195;G-Men Never Forget;1948;1948;Action*Adventure*Crime;142672;;22;English;Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA;USA;6.5;
3103196;G-men vs. the Black Dragon;1943;1943;Adventure;;;45;English;Republic Studios, Hollywood, Los Angeles, California, USA	*Santa Barbara, California, USA;USA;7.2;
3103197;G-nome;1997;1997;Action;;;;English;;USA;;
3103198;G-Phone Geri;2013;2013;Comedy*Short;94;;;English;San Francisco School of Digital Film, San Francisco, California, USA*San Francisco, California, USA;USA;;
3103199;G-Phoria;2003;2003;Action*Documentary;;;;English;;USA;5.7;90
3103200;G-Phoria 2004;2004;2004;Documentary;;;;English;;USA;6.5;
3103202;G-Punkt Entdeckung;2012;2012;Documentary;50000;;;German;;Germany;;
3103204;G-Sale;2003;2003;Comedy;;;;English;;USA;7.6;87
3103205;G-Saviour;2000;2000;Action*Drama*Sci-Fi;;;;English*Japanese;Canada;Japan*Canada;4.1;
3103206;G-senjou no higeki;1969;1969;Animation*Short;;;;;;Japan;;
3103207;G-Spot Chronicles;1999;1999;Adult;;;;English;;USA;;
3103209;G-Squad;1990;1990;Adult;;;;English;;USA;;
3103210;G-String Mother;2010;2010;Biography*Drama;;;;English;;;;
3103211;G-strings;1984;1984;Adult;;;29;English;;USA;6.6;
3103212;G-Strings and Bobby Socks;2000;2000;Adult*Comedy;15111;;;English;;USA;;90
3103213;G-Strings and Collard Greens;2007;2007;Adult;;;;English;;USA;;
3103214;G-taste;1999;1999;Adult*Animation*Drama*Short;;;;Japanese;;Japan;;
3103215;G-Thang: I Got Problems;2007;2007;Comedy;155837;;;English;;USA;;
3103216;G-Trification;2008;2008;Drama*Short;1700;;;English;Harlem, Manhattan, New York City, New York, USA;USA;;8
3103217;G-Walking the Smartest Person in the World Contest;2003;2003;Comedy*Short;;;;English;;USA;;
3103218;G.;2000;2000;Action*Comedy*Short*Thriller;;;;English;;USA;7.0;
3103219;G.;2010;2010;Fantasy*Sci-Fi*Short;;;1;English;El Ajusco, Mexico City, Distrito Federal, Mexico*Mexico City, Distrito Federal, Mexico;Mexico;8.1;
3103220;G.;2011;2011;Comedy*Short;;;;Spanish;Madrid, Spain;Spain;7.8;14
3103222;G. and G. vs the Frenchman;2008;2008;Comedy*Short;351;;;English;Edmonton, Alberta, Canada;Canada;;
3103223;G. Daniel;2014;2014;Documentary*Drama*Family*Short*Sport;;;;English;;USA;;
3103224;G. I. Stories;2010;2010;War;;;;;;;;
3103225;G. Khan;2015;2015;Short;;;;English;;USA;;
3103226;G. Redford Considers;2012;2012;Animation*Comedy*Short;;;;English;;USA;;
3103227;G. Un crimen oficial;2014;2014;Documentary;;;;Spanish;;Argentina;;
3103228;G. Whilliker!;1993;1993;Family;;;;English;Guthrie, Oklahoma, USA;USA;2.8;
3103229;G... is for Gopher Service;2007;2007;Documentary*Drama*Family*Short;;;;English;;Australia;;
3103231;G.A.D.A.R.;2003;2003;Comedy*Short;;;;English;;USA;6.0;9
3103233;G.A.I.N.;2012;2012;Horror;;;;English;Creech Woods, Winchester, England, UK*Portsmouth, Hampshire, England, UK;UK;6.2;
