ActorID,FirstName,LastName,IsMale,BirthYear,BirthLocation,DeathYear,DeathLocation
86893,Raimo,Aro,True,,,,
124531,Magdalena,Bodurka,False,,,,
177264,Bong,Benitez,True,,,,
2077137,Maria,Solana,True,,,,
1368783,Mahesh,Manjrekar,True,1953,Bombay - State of Bombay - India,,
1549338,Njoroge,Mungai,True,,,,
1545,Hauwa,Abdu,False,,,,
64352,Sofya,Bagdasarova,False,,,,
255589,Nicole,Crees,False,,,,
69950,Ali-Reza,Anoushfar,True,,,,
1179130,,KongoBoom,True,,,,
53303,Philip,Ambler,True,,,,
349302,Lorena C.,Elkins,False,,,,
133230,Sebastian,Barba,True,,,,
1753036,Mark,Polizzotti,True,,,,
205061,Wayne,Birch,True,,,,
1790198,Pineas,Quimper,True,,,,
100739,Andrzej,Augustyniak,True,,,,
8279,Joseph (I),Acanfora,True,,,,
465129,Hector (I),Crespo,True,,,,
199648,Katia,Cavallari,False,,,,
685675,Jean-Cherubin,Fevrier,True,,,,
238463,Jerry,Borris,True,,,,
79489,Nick (III),Archer,True,,,,
576339,Michael James,Dominguez,True,,,,
982583,Marlon,Horton,True,,,,
116741,Harold (IV),Bailey,True,,,,
138247,Helen (III),Boyd,False,,,,
712487,Sharon Ruud,Lien,False,,,,
1096873,Karl,Kahleck,True,,,,
561373,Kienan,Dietrich,True,,,,
820200,Louie,Gorbea,True,,,,
2317144,Ruben,Vrolijk,True,,,,
1212242,Kari (I),Krkkinen,True,,,,
499772,Rasmus Kim Grslien,Darger,True,,,,
490807,Felicity,Hamson,False,,,,
474502,Oliver,Cudbill,True,,,,
519603,Bruno,de la Fuente,True,1983,Cacabelos - Spain,,
136108,Marcel,Barelli,True,,,,
733373,Pearl (I),Lowe,False,,,,
2452332,Zuoping,Zhang,True,,,,
1871199,Peter,Rocke,True,,,,
793679,Shannon,McAllister,False,,,,
933733,Luke,Hemsworth,True,,,,
2450115,Omer,Zengin,True,,,,
256389,Asia,Crippa,False,,,,
1263366,D.J.,Lehto,True,,,,
1042851,Diany,Rodriguez,False,,,,
638531,Franz,Engel,True,1898,Vienna - Austria-Hungary [now Austria],1944,Auschwitz-Birkenau Concentration Camp - Oswiecim - Malopolskie - Poland
718756,Kate,Liquorish,False,,,,
336454,Brian,Cardell,True,,,,
1413659,Vladimir (I),Matyukhin,True,,,,
431489,Toni,Georgiana,False,,,,
1779686,Damian,Puddle,True,,,,
1334579,Olle,Lnsberg,True,1922,Gothenburg - Vstra Gtalands ln - Sweden,1998,Varberg - Hallands ln - Sweden
1302301,Misa (V),Watanabe,False,,,,
1366960,Madhukar,Mane,True,,,,
108955,Younes,B.,True,,,,
774671,Lara (I),Marshall,False,,,,
467681,Kell,Griffiths,False,,,,
68693,Soma,Balber,False,,,,
