range1;range2;count
F: [150-165[;B: [500-1000[;4
R: [30min - 45min[;F: [105-120[;7
R: [1h - 1h15[;F: [165-180[;2
F: [45-60[;B: [5,000-10,000[;26
F: [45-60[;B: [10,000-50,000[;47
F: [5-15[;B: < 50;15
G: [100,000-500,000[;S: 4;137
G: [10,000,000-50,000,000[;S: 8;763
G: >= 500,000,000;S: 5;4
G: [10,000,000-50,000,000[;S: 3;10
B: [10,000,000-50,000,000[;G: [10,000,000-50,000,000[;1136
R: [2h - 2h15[;F: [15-30[;28
R: [5min - 15min[;F: [15-30[;69
B: [1,000-5,000[;G: [10,000-50,000[;7
R: [1h - 1h15[;F: < 5;38
B: >= 50,000,000;G: [100,000-500,000[;0
R: < 5min;F: >= 190;9
F: [15-30[;B: [10,000,000-50,000,000[;13
B: [5,000,000-10,000,000[;G: [100,000-500,000[;128
F: [105-120[;B: [10,000-50,000[;17
B: [10,000,000-50,000,000[;G: [5,000,000-10,000,000[;304
G: [500,000-1,000,000[;S: 5;138
F: [165-180[;B: [500,000-1,000,000[;3
B: [50-100[;G: < 50;0
R: [1h45 - 2h[;F: [15-30[;65
B: [500,000-1,000,000[;G: [100-500[;1
R: [1h30 - 1h45[;F: [5-15[;72
R: [2h30 - 3h[;F: >= 190;26
R: [1h15 - 1h30[;F: [60-75[;226
B: [100-500[;G: < 50;0
B: [500,000-1,000,000[;G: [500,000-1,000,000[;84
B: >= 50,000,000;G: [1,000,000-5,000,000[;6
F: [165-180[;B: >= 50,000,000;35
B: [5,000,000-10,000,000[;G: [50,000,000-100,000,000[;70
G: [1,000,000-5,000,000[;S: 4;94
F: < 5;B: [5,000,000-10,000,000[;2
B: [50,000-100,000[;G: [5,000-10,000[;7
F: [45-60[;B: [500,000-1,000,000[;68
R: [15min - 30min[;F: [90-105[;13
G: [50,000-100,000[;S: 6;372
B: [50,000-100,000[;G: >= 500,000,000;0
G: [500-1,000[;S: 2;1
B: [500-1000[;G: [1,000,000-5,000,000[;0
B: [1,000,000-5,000,000[;G: [5,000-10,000[;45
R: < 5min;F: [45-60[;0
F: [75-90[;B: [10,000,000-50,000,000[;360
R: [1h45 - 2h[;F: [180-190[;9
B: [1,000,000-5,000,000[;G: [100,000,000-500,000,000[;27
G: [10,000-50,000[;S: 8;574
G: [1,000-5,000[;S: 1;0
R: [15min - 30min[;F: [105-120[;7
B: [500-1000[;G: [500-1,000[;2
G: [10,000-50,000[;S: 5;188
B: [1,000-5,000[;G: [500-1,000[;1
R: [30min - 45min[;F: [90-105[;4
R: [3h - 4h[;F: [135-150[;3
B: [1,000-5,000[;G: [1,000-5,000[;22
G: [100-500[;S: 3;2
G: [10,000-50,000[;S: 10;5
F: [135-150[;B: [1,000-5,000[;7
F: [30-45[;B: [100,000-500,000[;217
F: [5-15[;B: [50,000-100,000[;74
G: [100,000,000-500,000,000[;S: 9;98
F: [75-90[;B: [500,000-1,000,000[;25
G: [1,000-5,000[;S: 7;217
B: [10,000,000-50,000,000[;G: [5,000-10,000[;1
F: [5-15[;B: [1,000,000-5,000,000[;15
B: >= 50,000,000;G: [5,000,000-10,000,000[;18
B: [5,000-10,000[;G: [100-500[;1
G: [10,000,000-50,000,000[;S: 6;690
R: [5min - 15min[;F: >= 190;48
G: [5,000-10,000[;S: 5;44
R: [2h - 2h15[;F: [45-60[;42
B: [5,000,000-10,000,000[;G: [10,000-50,000[;53
G: [50,000,000-100,000,000[;S: 7;331
G: [100-500[;S: 4;4
B: [10,000,000-50,000,000[;G: < 50;2
B: < 50;G: >= 500,000,000;0
F: [75-90[;B: [5,000,000-10,000,000[;74
R: [30min - 45min[;F: [180-190[;4
F: [15-30[;B: < 50;8
R: >= 4h;F: >= 190;12
G: [10,000,000-50,000,000[;S: 1;0
F: [45-60[;B: [50-100[;3
F: [105-120[;B: < 50;1
R: [2h15 - 2h30[;F: [15-30[;4
B: [50,000-100,000[;G: [50,000-100,000[;12
B: [5,000-10,000[;G: [50-100[;2
F: [150-165[;B: < 50;0
F: [90-105[;B: [10,000,000-50,000,000[;293
G: [5,000,000-10,000,000[;S: 1;0
G: [1,000-5,000[;S: 9;30
G: [5,000,000-10,000,000[;S: 6;308
B: >= 50,000,000;G: [10,000-50,000[;1
F: [165-180[;B: [50,000-100,000[;9
G: [50-100[;S: 9;1
