range1;range2;count
G: [10,000,000-50,000,000[;S: 10;0
R: [1h30 - 1h45[;F: [45-60[;404
F: < 5;B: [500,000-1,000,000[;5
G: [100,000,000-500,000,000[;S: 1;0
F: [30-45[;B: >= 50,000,000;6
B: [10,000,000-50,000,000[;G: [50,000,000-100,000,000[;492
B: [10,000-50,000[;G: [500-1,000[;5
B: [100-500[;G: >= 500,000,000;0
R: < 5min;F: [135-150[;0
B: [5,000-10,000[;G: [500-1,000[;1
G: < 50;S: 5;11
B: [100,000-500,000[;G: >= 500,000,000;0
R: [2h - 2h15[;F: [120-135[;21
B: [500,000-1,000,000[;G: [50,000-100,000[;45
F: >= 190;B: [10,000,000-50,000,000[;91
B: [5,000,000-10,000,000[;G: [5,000-10,000[;11
R: [15min - 30min[;F: [30-45[;79
R: [1h15 - 1h30[;F: [90-105[;75
F: [30-45[;B: [100-500[;37
F: >= 190;B: [1,000-5,000[;107
R: [2h - 2h15[;F: [60-75[;61
B: [50,000-100,000[;G: [100-500[;0
B: [5,000-10,000[;G: [5,000-10,000[;6
G: [100-500[;S: 0;0
F: [105-120[;B: >= 50,000,000;101
R: < 5min;F: [5-15[;20
B: >= 50,000,000;G: [50,000,000-100,000,000[;133
G: [50,000-100,000[;S: 5;180
G: [500,000-1,000,000[;S: 2;1
R: < 5min;F: [30-45[;7
B: < 50;G: < 50;1
F: [180-190[;B: [1,000,000-5,000,000[;16
F: [90-105[;B: [50,000-100,000[;12
G: [50,000-100,000[;S: 0;0
F: [90-105[;B: [1,000-5,000[;40
R: [1h30 - 1h45[;F: [60-75[;414
R: [5min - 15min[;F: [135-150[;2
R: [2h30 - 3h[;F: [75-90[;6
R: [15min - 30min[;F: [165-180[;3
R: [15min - 30min[;F: [135-150[;3
R: [45min - 1h[;F: [45-60[;16
R: [2h15 - 2h30[;F: [180-190[;5
R: [5min - 15min[;F: [165-180[;2
F: [90-105[;B: [10,000-50,000[;35
B: [1,000-5,000[;G: [100,000-500,000[;5
F: [60-75[;B: [500-1000[;11
G: [100,000-500,000[;S: 7;1336
B: >= 50,000,000;G: [500,000-1,000,000[;0
G: >= 500,000,000;S: 3;0
B: [10,000,000-50,000,000[;G: [100,000-500,000[;100
B: [100,000-500,000[;G: [100,000,000-500,000,000[;0
R: [1h15 - 1h30[;F: [165-180[;6
B: [500,000-1,000,000[;G: [10,000,000-50,000,000[;44
F: [165-180[;B: [5,000,000-10,000,000[;5
F: [30-45[;B: [500-1000[;21
G: [1,000,000-5,000,000[;S: 2;4
F: [180-190[;B: < 50;1
R: [5min - 15min[;F: [45-60[;26
B: [100-500[;G: [100-500[;8
B: [500-1000[;G: >= 500,000,000;0
F: [90-105[;B: [500-1000[;9
R: [2h30 - 3h[;F: [165-180[;3
G: [500,000-1,000,000[;S: 0;0
B: [5,000,000-10,000,000[;G: [1,000,000-5,000,000[;268
G: [1,000-5,000[;S: 8;156
B: [1,000,000-5,000,000[;G: [500-1,000[;4
G: >= 500,000,000;S: 4;0
G: [50-100[;S: 4;0
G: >= 500,000,000;S: 10;0
F: [180-190[;B: [1,000-5,000[;7
F: [165-180[;B: [1,000-5,000[;8
F: [135-150[;B: [5,000-10,000[;2
B: [5,000,000-10,000,000[;G: >= 500,000,000;1
F: [15-30[;B: >= 50,000,000;3
G: < 50;S: 2;0
G: [5,000-10,000[;S: 2;0
G: [500-1,000[;S: 3;3
B: [500-1000[;G: [100,000,000-500,000,000[;0
G: [100-500[;S: 5;20
F: < 5;B: [1,000-5,000[;432
G: >= 500,000,000;S: 2;0
G: >= 500,000,000;S: 9;28
R: [2h30 - 3h[;F: [180-190[;4
F: [60-75[;B: [100-500[;13
F: [15-30[;B: [5,000,000-10,000,000[;29
F: >= 190;B: [50,000-100,000[;77
R: [2h15 - 2h30[;F: [120-135[;16
B: [100,000-500,000[;G: [5,000,000-10,000,000[;21
F: [30-45[;B: [5,000-10,000[;70
B: [10,000-50,000[;G: < 50;1
F: [150-165[;B: [500,000-1,000,000[;8
B: [50,000-100,000[;G: [10,000,000-50,000,000[;16
G: [100,000-500,000[;S: 0;0
F: [165-180[;B: [10,000-50,000[;7
F: [105-120[;B: [5,000,000-10,000,000[;24
F: [105-120[;B: [500,000-1,000,000[;11
G: [100,000,000-500,000,000[;S: 10;1
R: [1h15 - 1h30[;F: [180-190[;11
F: [60-75[;B: >= 50,000,000;32
R: [1h - 1h15[;F: [15-30[;62
R: [1h - 1h15[;F: >= 190;78
G: < 50;S: 4;2
R: [5min - 15min[;F: [60-75[;36
B: [50-100[;G: [10,000,000-50,000,000[;0
B: [5,000,000-10,000,000[;G: [5,000,000-10,000,000[;151
B: >= 50,000,000;G: < 50;0
G: [10,000-50,000[;S: 4;43
R: [2h15 - 2h30[;F: [150-165[;8
R: [45min - 1h[;F: [90-105[;16
B: [100,000-500,000[;G: [1,000-5,000[;32
B: [100-500[;G: [5,000,000-10,000,000[;0
F: < 5;B: [10,000,000-50,000,000[;7
R: < 5min;F: [90-105[;2
F: >= 190;B: [5,000,000-10,000,000[;43
R: [1h45 - 2h[;F: [75-90[;70
B: [500,000-1,000,000[;G: [5,000-10,000[;21
B: [100-500[;G: [10,000-50,000[;3
R: [2h15 - 2h30[;F: [135-150[;7
G: [5,000,000-10,000,000[;S: 4;40
G: [500,000-1,000,000[;S: 6;316
B: [10,000-50,000[;G: [5,000,000-10,000,000[;2
F: [105-120[;B: [1,000-5,000[;11
F: [105-120[;B: [50,000-100,000[;3
R: [30min - 45min[;F: [30-45[;26
R: < 5min;F: [165-180[;0
B: [50-100[;G: [50,000,000-100,000,000[;0
F: [45-60[;B: [500-1000[;6
R: [45min - 1h[;F: [135-150[;4
R: [2h - 2h15[;F: < 5;14
F: [30-45[;B: < 50;6
R: [5min - 15min[;F: < 5;527
R: [1h45 - 2h[;F: [165-180[;13
R: [2h - 2h15[;F: [150-165[;12
F: [30-45[;B: [500,000-1,000,000[;159
F: [30-45[;B: [50-100[;8
B: [1,000,000-5,000,000[;G: [50-100[;0
R: [30min - 45min[;F: >= 190;45
F: >= 190;B: [10,000-50,000[;194
B: [50-100[;G: [100-500[;2
R: [15min - 30min[;F: [150-165[;3
R: [15min - 30min[;F: [5-15[;320
B: [100-500[;G: [50-100[;4
F: >= 190;B: < 50;9
R: [5min - 15min[;F: [5-15[;164
B: [100-500[;G: [100,000,000-500,000,000[;0
G: [5,000-10,000[;S: 9;26
G: [500,000-1,000,000[;S: 9;62
F: [75-90[;B: [50,000-100,000[;15
F: [45-60[;B: [50,000-100,000[;27
G: [1,000-5,000[;S: 0;0
R: [30min - 45min[;F: [135-150[;2
B: [5,000-10,000[;G: [1,000,000-5,000,000[;7
R: [2h - 2h15[;F: >= 190;41
B: [500-1000[;G: [500,000-1,000,000[;0
G: [50,000,000-100,000,000[;S: 2;1
R: [30min - 45min[;F: [150-165[;4
B: [50,000-100,000[;G: [1,000-5,000[;7
B: [1,000-5,000[;G: [5,000-10,000[;6
R: [1h30 - 1h45[;F: [15-30[;358
F: [15-30[;B: [50-100[;7
G: [100,000-500,000[;S: 5;425
F: [120-135[;B: [1,000,000-5,000,000[;73
R: [45min - 1h[;F: [165-180[;3
R: >= 4h;F: [45-60[;2
G: [100,000-500,000[;S: 10;2
R: [1h - 1h15[;F: [180-190[;3
F: [75-90[;B: [100-500[;5
F: [120-135[;B: [10,000-50,000[;26
F: [165-180[;B: < 50;0
G: [100,000,000-500,000,000[;S: 3;3
B: [50,000-100,000[;G: [50-100[;0
B: [50-100[;G: [100,000-500,000[;1
B: [10,000,000-50,000,000[;G: >= 500,000,000;12
B: [500-1000[;G: [10,000-50,000[;2
F: [105-120[;B: [500-1000[;5
G: < 50;S: 7;17
B: [500,000-1,000,000[;G: [1,000-5,000[;20
B: [50,000-100,000[;G: [500-1,000[;3
F: [90-105[;B: [5,000,000-10,000,000[;70
B: [1,000-5,000[;G: [100,000,000-500,000,000[;0
F: [5-15[;B: >= 50,000,000;8
B: [1,000-5,000[;G: [50-100[;4
F: >= 190;B: [5,000-10,000[;81
B: [500-1000[;G: [50-100[;2
G: [500,000-1,000,000[;S: 10;1
F: [105-120[;B: [100,000-500,000[;17
F: [180-190[;B: [500,000-1,000,000[;7
R: [2h30 - 3h[;F: [15-30[;9
F: >= 190;B: [500,000-1,000,000[;68
R: [1h30 - 1h45[;F: < 5;27
F: [60-75[;B: [5,000-10,000[;27
F: [120-135[;B: [5,000-10,000[;9
G: [50,000-100,000[;S: 2;1
B: [1,000-5,000[;G: [500,000-1,000,000[;1
